question,option1,option2,option3,option4,answer
註冊有效期限為下列何者，期限屆滿前30日內向民航局申請延展?,有效期限為4年。,有效期限為1年。,有效期限為3年。,有效期限為2年。,3
實體檢驗合格證有效期限為下列何者，期限屆滿前30日內向民航局申請重新檢驗?,有效期限為4年。,有效期限為1年。,有效期限為3年。,有效期限為2年。,2
特種實體檢驗證有效期限為下列何者?,最長不得逾4年。,最長不得逾1年。,最長不得逾3年。,最長不得逾2年。,2
型式檢驗合格證與認可證明文件有效期限為下列何者?,最長不得逾3年。,最長不得逾5年。,最長不得逾10年。,無效期限制。,3
普通操作證有效期限屆期前30日內向民航局申請下列何種項目?,申請換證。,申請直接升級為專業操作證。,申請十年免換證。,申請永久免換證。,0
專業操作證有效期限屆期前30日內應經下列哪種動作辦理換證?,經財力檢查及面試合格後辦理換證。,經重新體格檢查及換證測驗合格後辦理換證。,經學歷檢查及法律測驗合格後辦理換證。,經身分檢查及道德測驗合格後辦理換證。,1
體格檢查文件須為下列何種效期之合格證明文件?,最近1年內。,最近2年內。,最近3年內。,最近5年內。,0
申請專業操作證學科測驗者，其術科測驗未於學科測驗通過起1年內完成者應如何處理?,未完成者可直接申請術科測驗。,未完成者可申請延長學科測驗效期。,未完成者應重新申請學科測驗。,未完成者可申請免學科測驗。,2
飛航活動時間限制為下列何者，以中央氣象局之時刻表為準?,滿潮後至乾潮前。,日出後至日落前。,月沒後至月出前。,民用曙光始至民用暮光終。,1
飛航活動申請時限：於飛航活動前幾日向民航局提出申請?如涉及軍事航空管理區域應於幾日前進行申請?,活動前10日/涉及軍事20日前。,活動前20日/涉及軍事15日前。,活動前30日/涉及軍事15日前。,活動前15日/涉及軍事30日前。,3
飛航活動同意時限：以幾個月為限?農務作業循農政機關管理者以幾個月為限?,5個月/農務10個月。,10個月/農務5個月。,6個月/農務3個月。,3個月/農務6個月。,3
飛航活動記錄保存：政府機關（構）、學校或法人應保存遙控無人機相關資料及記錄幾年?,保存1年。,保存2年。,保存3年。,保存5年。,1
飛安相關事件：應於發生或得知消息後幾小時內通報民航局?,12小時內。,24小時內。,36小時內。,48小時內。,1
遙控無人機活動區域綠區範圍：在下列何種高度時，自然人與法人均可於遵守操作規範條件下飛行之區域?,400呎以下。,200呎以下。,400呎以上。,200呎以上。,0
遙控無人機活動區域黃區（中央）範圍：航空站（機場）四周，飛行高度為下列何種高度之區域?,不得高於400呎。,不得高於300呎。,不得高於200呎。,不得高於100呎。,2
遙控無人機活動區域紅區（中央）範圍：限航區、航空站（機場）與飛行場禁止飛行之區域，及下列何種高度之區域?,任何高度超過400呎以上。,任何高度超過300呎以上。,任何高度超過200呎以上。,任何高度超過100呎以上。,0
遙控無人機活動區域紅區（地方）範圍：地方政府公告下列何種高度禁止或有條件限制飛行之區域?,高度100呎以下。,高度200呎以下。,高度400呎以下。,高度600呎以下。,2
下列哪個遙控無人機活動區域，法人應經申請後始得飛行?,黃區高於兩百呎（中央）。,紅區（中央）。,紅區（地方）。,以上皆是。,3
遙控無人機註冊、檢驗、能力審查、活動申請及學、術科測驗皆可透過下列哪個系統進行申辦?,「遙控無人機業務諮詢系統」。,「遙控無人機管理資訊系統」。,「遙控無人機自動申辦系統」。,「遙控無人機AI登錄系統」。,1
法人辦理飛航活動申請時，申請範圍內如有限制區域（如紅區或黃區）應取得下列何者之同意文件?,管理機關。,戶政機關。,司法機關。,財稅機關。,0
申請400呎以下全縣市範圍空域，限下列何者?,限軍事機關及測繪作業。,限公務機關及測繪作業。,限軍事機關及農噴作業。,限公務機關及農噴作業。,3
飛航活動如進入限航區及航空站/飛行場四周限制遙控無人機活動範圍或距地表高度400呎以上，應採取下列哪些動作?,應發布瀏覽公告並進行行政協調。,應發布飛航公告並進行行政協調。,應發布飛航公告並進行航管協調。,應發布瀏覽公告並進行航管協調。,2
航管單位協調地點有下列哪幾個?,北部近場臺與南部近場臺2個。,臺北近場臺與高雄近場臺2個。,西部近場臺與東部近場臺2個。,本島近場臺與離島近場臺2個。,1
航管單位協調地點大致以下列何處為界線，以北一個近場臺、以南另一個近場臺?,北緯24度。,北緯24.5度。,北緯23.5度。,北緯23度。,0
遙控無人機於建築物外開放空間從事飛航活動，須遵循下列何者管理?,民法。,建築法。,民用航空法。,國土計畫法。,2
下列何者應負遙控無人機使用安全、風險管理及法規遵循等責任?,協調員或觀察員。,協調員或操作人。,所有人或觀察員。,所有人或操作人。,3
遙控無人機發生下列何種事件後，其所有人或操作人應在發生或得知消息後24小時內填具飛航安全相關事件報告表通報民航局?,人員死亡或傷害。,最大起飛重量逾25公斤之遙控無人機遭受實質損害（損壞無法修復）。,毀損超過新臺幣50萬元者。,以上皆是。,3
下列何種遙控無人機遭受實質損害或失蹤，其所有人或操作人應在發生或得知消息後24小時內填具飛航安全相關事件報告表通報民航局?,最大起飛重量2公斤以上且裝置導航裝置。,最大起飛重量1公斤以上且裝置導航裝置。,最大起飛重量2公斤以上但未裝置導航裝置。,最大起飛重量1公斤以上但未裝置導航裝置。,0
於下列何處從事活動之遙控無人機遭受實質損害或失蹤，其所有人或操作人應在發生或得知消息後24小時內填具飛航安全相關事件報告表通報民航局?,限航區範圍外。,限航區範圍內。,河川區域範圍內。,農業區範圍內。,1
於下列何時從事活動之遙控無人機遭受實質損害或失蹤，其所有人或操作人應在發生或得知消息後24小時內填具飛航安全相關事件報告表通報民航局?,月沒後至月出前。,月出後至月沒前。,日落後至日出前。,日出後至日落前。,2
遙控無人機發生下列何種事故，其所有人或操作人應在發生或得知消息後24小時內填具飛航安全相關事件報告表通報民航局?,與其他航空器或障礙物接近或碰撞之事故。,視距外空速管失效之事故。,視距外GPS訊號異常之事故。,視距外上傳鏈路干擾/遮蔽之事故。,0
自然人所有之最大起飛重量250公克以上及政府機關（構）、學校或法人所有之遙控無人機，應依規則辦理下列何者?,不必辦理註冊。,辦理註冊，但不必將註冊號碼標明於遙控無人機上顯著之處。,辦理註冊，並將註冊號碼標明於遙控無人機上顯著之處。,以上皆非。,2
最大起飛重量幾公斤以上，且裝置導航設備之遙控無人機，應具備防止進入限航區及航空站或飛行場四周之圖資軟體系統?,5公斤以上。,3公斤以上。,2公斤以上。,1公斤以上。,3
自然人所有之下列何種遙控無人機，操作人應持有民航局發給普通操作證後，始得操作?,最大起飛重量1公斤以上未達15公斤且裝置導航設備。,最大起飛重量2公斤以上未達15公斤且裝置導航設備。,最大起飛重量3公斤以上未達15公斤且裝置導航設備。,最大起飛重量5公斤以上未達15公斤且裝置導航設備。,1
遙控無人機製造者與進口者，應依民航通告「遙控無人機產品登錄及標示作業」辦理下列何種事宜?,登錄事宜。,註冊事宜。,認證事宜。,申請事宜。,0
公告定義遙控無人機之構造為下列哪幾種?,無人飛機、無人直昇機、無人多旋翼機等共3種。,無人飛機、無人多旋翼機、複合式無人機等共3種。,無人飛機、無人直昇機、複合式無人機等共3種。,無人飛機、無人直昇機、無人多旋翼機、複合式無人機等共4種。,3
垂直起降無人機VTOL屬於下列哪種公告定義之遙控無人機?,無人飛機。,無人直昇機。,無人多旋翼機。,複合式無人機。,3
市售最大起飛重量未達幾公斤具導航設備經登錄者列入「免經檢驗或認可之遙控無人機清冊」並定期更新?,未達2公斤。,未達15公斤。,未達25公斤。,未達150公斤。,2
遙控無人機之設計、製造、改裝，或自國外進口遙控無人機，應經民航局檢驗合格或認可者，發給下列遙控無人機哪種文件?,普通操作證或專業操作證。,檢驗合格證或認可證明文件。,註冊號碼或形式檢驗標籤。,以上皆非。,1
遙控無人機之檢驗基準，由下列何者訂定?,民航局。,國家實驗研究院。,工研院。,標準檢驗局。,0
外國人領有外國政府之遙控無人機註冊、檢驗及操作證之證明文件者，得申請下列何者後依規定從事飛航活動?,測驗。,認可。,面談。,豁免。,1
政府機關（構）、學校或法人之飛航活動應於活動日15日前檢附下列何者提出申請?,飛航申請書。,作業規畫書。,活動計畫書。,業務執行書。,2
遙控無人機飛航活動之實際高度不得逾距地面或水面幾呎?,100呎。,200呎。,400呎。,600呎。,2
不得以遙控無人機投擲或噴灑下列何者?,爆炸物品。,毒性物質。,危險物品。,包含以上之任何物件。,3
不得以遙控無人機裝載由下列何者公告之危險物品?,民航局。,航港局。,觀光局。,中央氣象局。,0
遙控無人機應遠離高速公路、快速公（道）路、鐵路、高架鐵路、地面或高架之大眾捷運系統、建築物及障礙物幾公尺以上?,20公尺。,30公尺。,50公尺。,80公尺。,1
遙控無人機不得於下列何處操作遙控無人機?,地面上。,固定之航空器、車輛或船艦上。,移動中之航空器、車輛或船艦上。,高山上。,2
最大起飛重量未達25公斤且裝置導航設備之遙控無人機最大飛行速度每小時不得超過下列何者?,87海浬或160公里。,81海浬或150公里。,76海浬或140公里。,70海浬或130公里。,1
遙控無人機延伸視距飛航最大範圍為以操作人為中心之半徑幾公尺?相對地面或水面高度低於幾呎內之區域?,半徑500公尺/高度低於400呎。,半徑900公尺/高度低於200呎。,半徑500公尺/高度低於200呎。,半徑900公尺/高度低於400呎。,3
目視觀察員應與下列何者保持目視接觸，並提供操作人必要之飛行資訊?,操作人。,遙控無人機。,航空站或飛行場。,協調員。,1
延伸視距飛航作業屬操作限制，應以下列何種身分提出申請?,自然人身分。,法人身分。,操作人身分。,協調員身分。,1
遙控無人機不得於下列何處活動?,人群聚集或室外集會遊行上空。,海面上空。,河川上空。,山區上空。,0
遙控無人機不得於下列何者之時間飛航?,月沒後至月出前。,月出後至月沒前。,日出後至日落前。,日落後至日出前。,3
遙控無人機在目視範圍內操作，得以下列何工具延伸飛航作業距離?,望遠鏡。,遠距鏡頭。,矯正鏡片。,智慧型手機。,2
操作人不得在同一時間控制幾架以上遙控無人機?,2架。,3架。,4架。,5架。,0
操作人應隨時監視該遙控無人機之下列何種狀況?,噴漆及其標籤狀況。,註冊及其檢驗狀況。,價格及其銷售狀況。,飛航及其周遭狀況。,3
操作人應防止遙控無人機發生下列何種狀況?,顏色與其他航空器、建築物或障礙物背景無法明顯反襯。,與其他航空器、建築物或障礙物接近或碰撞。,噪音影響到其他航空器、建築物或障礙物。,停放於其他航空器、建築物或障礙物之間。,1
政府機關（構）、學校或法人遙控無人機於目視範圍外從事活動時，應採下列何種動作?,應於活動日15日前檢附活動計畫書向航港局申請許可。,應於活動日30日前檢附活動計畫書向民航局申請許可。,應於活動日15日前檢附活動計畫書向民航局申請許可。,應於活動日15日前檢附活動成果報告書向民航局申請許可。,2
政府機關（構）、學校或法人遙控無人機於人群聚集或室外集會遊行上空從事活動時，應先取得下列何者之同意?,活動場地之直轄市、縣（市）政府及相關中央主管機關。,活動場地之警察局及相關地方機關。,活動場地之村里長及相關地方人士。,活動場地之所有權人及相關利益團體。,0
政府機關（構）、學校或法人遙控無人機於從事操作規範排除之作業前應投保責任險，賠償額為死亡者新臺幣若干?重傷者新臺幣若干?,"死亡者新臺幣1,000萬元/重傷者新臺幣500萬元。",死亡者新臺幣500萬元/重傷者新臺幣250萬元。,死亡者新臺幣300萬元/重傷者新臺幣150萬元。,死亡者新臺幣200萬元/重傷者新臺幣100萬元。,2
政府機關為執行下列哪些法定職務，需於民航法第99條之13第1項公告之航空站或飛行場四周之一定距離範圍內、第2項公告之禁止、限制區域內從事遙控無人機飛航活動，經民航局同意者，不受第99條之13第3項及第4項規定之限制?,觀光、教育業務等。,災害防救、偵查、調查、矯正業務等。,商業、民調業務等。,醫療、通信業務等。,1
政府機關為執行下列哪些法定職務，從事民航法第99條之14第1項第2款至第8款之活動，經民航局同意者，不受第99條之14第3項規定之限制?,觀光、教育業務等。,醫療、通信業務等。,商業、民調業務等。,災害防救、偵查、調查、矯正業務等。,3
遙控無人機違反民航法第99條之13第1項規定，於禁航區、限航區及航空站或飛行場四周之一定距離範圍內從事飛航活動，罰鍰金額為下列何者?,新臺幣30萬元以上150萬元以下。,新臺幣6萬元以上30萬元以下。,新臺幣3萬元以上15萬元以下。,新臺幣1萬元以上150萬元以下。,0
遙控無人機違反民航法第99條之14第1項第1款規定，逾距地表高度400呎從事飛航活動，罰鍰金額為下列何者?,新臺幣30萬元以上150萬元以下。,新臺幣6萬元以上30萬元以下。,新臺幣3萬元以上15萬元以下。,新臺幣1萬元以上150萬元以下。,0
違反民航法第99條之10第2項規定，未領有操作證而操作遙控無人機，罰鍰金額為下列何者?,新臺幣30萬元以上150萬元以下。,新臺幣6萬元以上30萬元以下。,新臺幣3萬元以上15萬元以下。,新臺幣1萬元以上150萬元以下。,1
違反民航法第99條之15第3項規定，未投保或未足額投保責任保險而從事遙控無人機活動，罰鍰金額為下列何者?,新臺幣30萬元以上150萬元以下。,新臺幣6萬元以上30萬元以下。,新臺幣3萬元以上15萬元以下。,新臺幣1萬元以上150萬元以下。,1
違反民航法第99條之10第1項有關遙控無人機註冊或標明註冊號碼之規定，罰鍰金額為下列何者?,新臺幣30萬元以上150萬元以下。,新臺幣6萬元以上30萬元以下。,新臺幣3萬元以上15萬元以下。,新臺幣1萬元以上150萬元以下。,2
遙控無人機違反民航法第99條之13第2項有關直轄市、縣（市）政府公告之區域、時間及其他管理事項之規定，罰鍰金額為下列何者?,新臺幣30萬元以上150萬元以下。,新臺幣6萬元以上30萬元以下。,新臺幣3萬元以上15萬元以下。,新臺幣1萬元以上150萬元以下。,2
違反民航法第99條之14第1項第2~10款有關遙控無人機飛航活動應遵守之規定，罰鍰金額為下列何者?,新臺幣30萬元以上150萬元以下。,新臺幣6萬元以上30萬元以下。,新臺幣3萬元以上15萬元以下。,新臺幣1萬元以上150萬元以下。,2
違反依民航法第99條之17所定規則有關射頻識別、檢驗、認可、維修與檢查、飛航活動之活動許可及內容、製造者與進口者之登錄及責任、飛航安全相關事件之通報等事項規定，罰鍰金額為下列何者?,新臺幣30萬元以上150萬元以下。,新臺幣6萬元以上30萬元以下。,新臺幣3萬元以上15萬元以下。,新臺幣1萬元以上150萬元以下。,3
遙控無人機活動申請分為下列哪幾種?,甲級申請與乙級申請2種。,初級申請與高級申請2種。,平日申請與假日申請2種。,一般申請與緊急申請2種。,3
遙控無人機活動之一般申請可參照下列何種參考文件申辦?,「政府機關（構）、學校或法人於禁航區、限航區、航空站或飛行場四周之一定距離範圍內從事遙控無人機飛航活動申請說明」。,「使用遙控無人機從事災害應變、災害預防、復原重建或災害以外之緊急情況申請書暨民用航空局同意書」。,「使用遙控無人機從事災害預防、復原重建或災害以外之緊急情況申請書暨直轄市、縣（市）同意書」。,「遙控無人機從事災害應變、災害之預防、復原重建或災害以外之緊急情況時，需取得/通知限航管理單位名冊」。,0
遙控無人機活動之緊急申請可參照下列何種參考文件申辦?,「使用遙控無人機從事災害應變、災害預防、復原重建或災害以外之緊急情況申請書暨民用航空局同意書」。,「使用遙控無人機從事災害預防、復原重建或災害以外之緊急情況申請書暨直轄市、縣（市）同意書」。,「遙控無人機從事災害應變、災害之預防、復原重建或災害以外之緊急情況時，需取得/通知限航管理單位名冊」。,以上皆是。,3
遙控無人機活動申請及飛航紀錄之經緯度位置資訊一律以下列何者表示?,度分（DDM）。,度分秒（DMS）。,度（DD）。,以上皆是。,1
經緯度的座標值可分為下列哪幾種表示方法?,可分為3種表示方法，分別為度、度分、度分秒。,可分為3種表示方法，分別為球座標、直角座標、圓柱座標。,可分為2種表示方法，分別為英制、公制。,可分為2種表示方法，分別為實數、複數。,0
經緯度的座標值北緯25.1度，東經121.4度；以度分來表示其座標為下列何者?,北緯25度10分，東經121度40分。,北緯25度1分，東經121度4分。,北緯25度6分，東經121度24分。,北緯25度12分，東經121度48分。,2
經緯度的座標值北緯25.11度，東經121.42度；以度分秒來表示其座標為下列何者?,北緯25度1分1秒，東經121度40分2秒。,北緯25度6分36秒，東經121度25分12秒。,北緯25度6分6秒，東經121度24分12秒。,北緯25度36分36秒，東經121度24分12秒。,1
經緯度的座標值平均每度緯線的距離約為下列何者?,87浬（160 km）。,49浬（91 km）。,55浬（102 km）。,60浬（111 km）。,3
經緯度的座標值1秒的距離約為下列何者?,100呎（30 m）。,112呎（34 m）。,115呎（35 m）。,118呎（36 m）。,0
臺北飛航情報區轉換高度為下列何者?,"5,000呎。","7,000呎。","11,000呎。","13,000呎。",2
實際高度（AGL，above ground level）即遙控無人機（非操作人所在位置）相對於下列何者之高度?,平均海平面。,地面或水面。,操作人所在位置。,操作人附近最高點。,1
在400呎以下之遙控無人機活動或限制區域的劃設均以下列何者為準?,密度高度。,橢球高。,平均海平面高度。,實際高度。,3
平均海平面高度（AMSL，above mean sea level）即為海拔高度，係以各地區人為設定的下列何者作為基準面測定的高度表示方式?,平均海平面。,操作人所在位置高度。,操作人附近最高點高度。,地面或水面高度。,0
無人機飛航超過400呎時，應了解無人機下列何種資訊，以利空域協調?,實際高度資訊。,橢球高資訊。,海拔高度資訊。,密度高度資訊。,2
橢球高（HAE，height above ellipsoid）又稱為大地高，係將地球假定為一理想橢球體，真實地表上任一點相對於橢球面的下列何者即為橢球高?,平行距離。,垂直距離。,切線距離。,圓弧距離。,1
GPS高度測量係利用GPS測量技術直接測定地面點的下列何者?,平均海平面高度。,實際高度。,密度高度。,大地高。,3
無人機的動力系統大致分為哪2大類?,氣冷式及水冷式等2大類。,立式及臥式等2大類。,馬達（電動式）及引擎（內燃機式）等2大類。,迴轉式及往復式等2大類。,2
電動無人機的動力系統包括下列哪些部分?,馬達、電池。,調速系統（電子調速器）。,螺旋槳。,以上皆是。,3
無人機動力系統中的馬達大部分屬於下列哪一類?,無刷直流馬達。,有刷直流馬達。,以上皆是。,以上皆非。,0
功率的定義為下列何者?,每單位時間所施加的力。,每單位時間所作的功或所消耗的能量。,每單位時間所增加或減少的溫度。,每單位時間所施加的扭矩。,1
功率的常用單位有下列哪些?,公制單位為瓦（W）；英制單位為馬力（HP）。,公制單位為焦耳（J）；英制單位為BTU。,公制單位為牛頓（N）；英制單位為磅（lb）。,以上皆是。,0
"在1,013.25 hPa、15℃時，空氣密度大約為下列何者?",1.005 kg/m3。,1.115 kg/m3。,1.225 kg/m3。,1.335 kg/m3。,2
升力公式中的升力係數的單位為下列何者?,hPa。,無因次（dimensionless）。,m/s。,kg/m2。,1
空氣密度與密度高度的關係為下列何者?,空氣密度減少表示較低的密度高度，空氣密度增加表示較高的密度高度。,空氣密度不論減少或增加均與密度高度無關。,視狀況而定，空氣密度減少有時表示較高的密度高度，有時表示較低的密度高度。,空氣密度減少表示較高的密度高度，空氣密度增加表示較低的密度高度。,3
空氣密度與動力輸出的關係為下列何者?,空氣密度減少，動力輸出隨之增加。,空氣密度減少，動力輸出隨之降低。,空氣密度與動力輸出無關。,以上皆非。,1
空氣密度受下列哪些因素影響?,高度、溫度、及濕度等。,推力、升力、阻力、及重力等。,空速、航向、及姿態等。,以上皆是。,0
高度如何影響空氣密度及無人機飛行?,高度越高，空氣密度越高；在一定攻角、較高高度下為保持升力，須以較低的真空速飛行。,高度越高，空氣密度越低；在一定攻角、較高高度下為保持升力，須以較低的真空速飛行。,高度越高，空氣密度越低；在一定攻角、較高高度下為保持升力，須以較高的真空速飛行。,高度越高，空氣密度越高；在一定攻角、較高高度下為保持升力，須以較高的真空速飛行。,2
溫度如何影響空氣密度及無人機飛行?,暖空氣的密度高於冷空氣；在一定攻角、較高溫度下為保持升力，須以較低的真空速飛行。,暖空氣的密度高於冷空氣；在一定攻角、較高溫度下為保持升力，須以較高的真空速飛行。,暖空氣的密度低於冷空氣；在一定攻角、較高溫度下為保持升力，須以較低的真空速飛行。,暖空氣的密度低於冷空氣；在一定攻角、較高溫度下為保持升力，須以較高的真空速飛行。,3
濕度如何影響空氣密度及無人機飛行?,濕空氣的密度低於乾空氣；在一定攻角、較高濕度下為保持升力，須以較高的真空速飛行。,濕空氣的密度高於乾空氣；在一定攻角、較高濕度下為保持升力，須以較高的真空速飛行。,濕空氣的密度高於乾空氣；在一定攻角、較高濕度下為保持升力，須以較低的真空速飛行。,濕空氣的密度低於乾空氣；在一定攻角、較高濕度下為保持升力，須以較低的真空速飛行。,0
無人機所用的螺旋槳的型號代表的意義為下列何者?,前兩碼為槳的直徑，後兩碼代表槳的螺距，單位皆為公分。,前兩碼為槳的寬度，後兩碼代表槳的螺距，單位皆為公分。,前兩碼為槳的直徑，後兩碼代表槳的螺距，單位皆為英吋。,前兩碼為槳的寬度，後兩碼代表槳的厚度，單位皆為英吋。,2
無人機所用的螺旋槳槳葉數量與空氣動力效率的關係為何?,槳葉數量越多，空氣動力效率越高。,槳葉數量越少，空氣動力效率越高。,槳葉數量與效率無關。,以上皆有可能。,1
螺旋槳螺距的意思為下列何者?,想像螺旋槳在某個不能流動的介質中沿螺旋槳軸向旋轉往前，同一片槳葉旋轉一圈所產生螺旋的徑向距離即為螺距。,想像螺旋槳在某個不能流動的介質中沿螺旋槳徑向旋轉往前，同一片槳葉旋轉一圈所產生螺旋的軸向距離即為螺距。,想像螺旋槳在某個不能流動的介質中沿螺旋槳徑向旋轉往前，同一片槳葉旋轉一圈所產生螺旋的徑向距離即為螺距。,想像螺旋槳在某個不能流動的介質中沿螺旋槳軸向旋轉往前，同一片槳葉旋轉一圈所產生螺旋的軸向距離即為螺距。,3
螺旋槳的材質為下列何者?,一般為硬質塑膠、碳纖維、及硬質木頭等。,一般為高速鋼、及合金鋼等。,一般為鋁合金、及銅合金等。,以上皆是。,0
CW、CCW哪個是順時針哪個是逆時針?,CW為逆時針，CCW為順時針。,CW、CCW都是順時針。,CW為順時針，CCW為逆時針。,CW、CCW都是逆時針。,2
電池的測電工具一般有下列何者?,一般有頻譜分析儀、光學尺等。,低電量警報器、分壓測電器及三用電表等。,一般有示波器、電晶體等。,一般有脈衝產生器、功率計等。,1
6s電池的分壓接頭係由幾條電線構成?,4條線。,5條線。,6條線。,7條線。,3
電池並聯時，電壓和電容量為何種變化?,電壓不變，電容量升高。,電壓降低，電容量升高。,電壓升高，電容量降低。,電壓升高，電容量不變。,0
無人機的外轉無刷馬達之型號，其代表的意義為下列何者?,前兩碼為馬達轉子繞線線圈的直徑，後兩碼為馬達轉子繞線線圈的高度。,前兩碼為馬達轉子繞線線圈的直徑，後兩碼為馬達定子繞線線圈的高度。,前兩碼為馬達定子繞線線圈的直徑，後兩碼為馬達轉子繞線線圈的高度。,前兩碼為馬達定子繞線線圈的直徑，後兩碼為馬達定子繞線線圈的高度。,3
無人機馬達的KV值代表之意義為下列何者?,其單位為kg/V，代表馬達在1V電壓下的離心力。,其單位為rpm/V，代表馬達在1V電壓下的每分鐘轉速。,其單位為℃/V，代表馬達在1V電壓下的操作溫度。,其單位為KW/V，代表馬達在1V電壓下的動力輸出。,1
螺旋槳可依下列何者作選配?,不同的KV值。,不同的操作溫度。,不同的離心力。,以上皆是。,0
如何選用高速槳或低速槳?,KV值較大者選用低速槳，KV值較小者選用高速槳。,不論KV值大小，選用高速槳就對了。,KV值較大者選用高速槳，KV值較小者選用低速槳。,不論KV值大小，選用低速槳就對了。,2
某無人機使用馬達KV值為400，標稱電壓為22.2 V，其理論空轉轉速如何計算?,"400*√22.2 = 1,885轉。","400*22.2 = 8,880轉。","√400*22.22 = 9,857轉。","400*22.2 *75%= 6,660轉。",1
有刷馬達的優點為下列何者?,結構簡單、起動扭矩大。,起動及煞車平穩、控制精度高。,購置成本低、維修方便。,以上皆是。,3
無刷馬達的優點為下列何者?,無電刷、低干擾。,噪音低、運轉摩擦力小。,壽命長、維護成本低。,以上皆是。,3
